"2019-08-18 20:29:48 - Starting ProjectAppApplication on Anishs-MacBook-Pro.local with PID 3408 (started by anishgoyal in /Users/anishgoyal/Documents/GitHub/DRDO/project app)
""2019-08-18 20:29:48 - No active profile set, falling back to default profiles: default
""2019-08-18 20:29:49 - Bootstrapping Spring Data repositories in DEFAULT mode.
""2019-08-18 20:29:49 - Finished Spring Data repository scanning in 67ms. Found 3 repository interfaces.
""2019-08-18 20:29:49 - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$1ba5d4a5] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
""2019-08-18 20:29:49 - Tomcat initialized with port(s): 8080 (http)
""2019-08-18 20:29:49 - Starting service [Tomcat]
""2019-08-18 20:29:49 - Starting Servlet engine: [Apache Tomcat/9.0.19]
""2019-08-18 20:29:50 - At least one JAR was scanned for TLDs yet contained no TLDs. Enable debug logging for this logger for a complete list of JARs that were scanned but no TLDs were found in them. Skipping unneeded JARs during scanning can improve startup time and JSP compilation time.
""2019-08-18 20:29:50 - Initializing Spring embedded WebApplicationContext
""2019-08-18 20:29:50 - Root WebApplicationContext: initialization completed in 2035 ms
""2019-08-18 20:29:50 - HikariPool-1 - Starting...
""2019-08-18 20:29:51 - HikariPool-1 - Exception during pool initialization.
